DATE,START_TIME,START_TIME_SINCE_EPOCH,END_TIME,MINUTES_SPENT
26 Jun 2019,11:08:04,0,SKIP FIRST ROW,0
26 Jun 2019,11:08:54,1561540134.5932403,11:09:19,0.40972885688145955
26 Jun 2019,11:08:54,1561540134.5932403,11:20:53,11.982340598106385
26 Jun 2019,11:08:54,1561540134.5932403,11:22:15,13.356530284881591
26 Jun 2019,11:33:02,1561541582.8849177,11:33:13,0.17521612644195556
26 Jun 2019,11:33:43,1561541623.6337597,11:33:59,0.25908156236012775
26 Jun 2019,11:36:09,1561541769.1267905,11:36:24,0.2580642938613892
26 Jun 2019,11:46:24,1561542384.1758978,11:46:39,0.2592043121655782
26 Jun 2019,11:47:01,1561542421.5441575,11:47:17,0.2583385904630025
26 Jun 2019,16:06:39,1561557999.9560328,16:06:55,0.25931459267934165
26 Jun 2019,16:06:39,1561557999.9560328,16:08:39,1.9934463898340862
26 Jun 2019,16:10:59,1561558259.9555564,16:11:15,0.2591952204704285
26 Jun 2019,16:11:04,1561558264.5384076,16:11:20,0.25933347940444945
26 Jun 2019,16:12:22,1561558342.0226133,16:12:37,0.25900353988011676
26 Jun 2019,16:20:57,1561558857.2543538,16:21:12,0.2594137072563171
26 Jun 2019,16:34:09,1561559649.1040664,16:34:24,0.25889678398768107
26 Jun 2019,16:34:31,1561559671.3846862,16:34:46,0.2588035384813944
26 Jun 2019,16:44:36,1561560276.2817137,16:44:51,0.2587671438852946
27 Jun 2019,10:57:24,1561625844.7003617,10:57:40,0.25738911231358846
27 Jun 2019,10:57:54,1561625874.6998618,10:58:09,0.2500572681427002
27 Jun 2019,10:59:42,1561625982.8907552,10:59:59,0.2745157400767008
